material,temperature_c,dwell_min,length_factor,width_factor,sleeve_factor
PES,60.0,7.0,0.9894,0.9902,0.9899
PES,60.0,8.0,0.9888,0.9926,0.9872
PES,60.0,9.0,0.9866,0.991,0.9871
PES,60.0,10.0,0.9879,0.9895,0.9876
PES,60.0,11.0,0.9867,0.9912,0.9877
PES,60.0,12.0,0.986,0.989,0.9847
PES,60.0,13.0,0.9862,0.9886,0.9865
PES,60.0,14.0,0.9851,0.9876,0.9841
PES,60.0,15.0,0.9862,0.9889,0.986
PES,60.0,16.0,0.9836,0.9873,0.984
PES,60.0,17.0,0.9852,0.9893,0.9855
PES,60.0,18.0,0.9832,0.9868,0.9848
PES,60.0,19.0,0.9834,0.9881,0.9826
PES,60.0,20.0,0.9845,0.9889,0.9843
PES,70.0,1.0,0.9905,0.9947,0.9914
PES,70.0,2.0,0.992,0.9944,0.992
PES,70.0,3.0,0.9912,0.9916,0.9914
PES,70.0,4.0,0.9888,0.9932,0.9895
PES,70.0,5.0,0.9898,0.9909,0.9875
PES,70.0,6.0,0.9878,0.9923,0.9897
PES,70.0,7.0,0.9881,0.9905,0.9892
PES,70.0,8.0,0.9885,0.9892,0.9886
PES,70.0,9.0,0.988,0.9893,0.9855
PES,70.0,10.0,0.9868,0.9891,0.9865
PES,70.0,11.0,0.9854,0.9895,0.985
PES,70.0,12.0,0.9838,0.9902,0.9854
PES,70.0,13.0,0.9856,0.9892,0.9845
PES,70.0,14.0,0.985,0.9879,0.9839
PES,70.0,15.0,0.9848,0.9875,0.9836
PES,70.0,16.0,0.9835,0.9873,0.9827
PES,70.0,17.0,0.9849,0.9882,0.9847
PES,70.0,18.0,0.9827,0.9876,0.9818
PES,70.0,19.0,0.9828,0.9875,0.9834
PES,70.0,20.0,0.9826,0.9862,0.9827
PES,80.0,1.0,0.9913,0.9919,0.9892
PES,80.0,2.0,0.9901,0.9918,0.9907
PES,80.0,3.0,0.9895,0.9909,0.9881
PES,80.0,4.0,0.9876,0.9912,0.9894
PES,80.0,5.0,0.9875,0.9912,0.9868
PES,80.0,6.0,0.9871,0.9896,0.9876
PES,80.0,7.0,0.9874,0.9908,0.9855
PES,80.0,8.0,0.9852,0.991,0.9862
PES,80.0,9.0,0.9849,0.9903,0.9855
PES,80.0,10.0,0.9857,0.9904,0.9855
PES,80.0,11.0,0.986,0.989,0.9855
PES,80.0,12.0,0.9854,0.9885,0.9856
PES,80.0,13.0,0.984,0.9874,0.9833
PES,80.0,14.0,0.9846,0.9879,0.9842
PES,80.0,15.0,0.9822,0.987,0.9828
PES,80.0,16.0,0.9833,0.9863,0.9824
PES,80.0,17.0,0.9835,0.9859,0.9826
PES,80.0,18.0,0.9824,0.9861,0.9824
PES,80.0,19.0,0.9827,0.9874,0.9835
PES,80.0,20.0,0.9818,0.9852,0.9818
PES,90.0,1.0,0.9902,0.9932,0.9889
PES,90.0,2.0,0.9886,0.9917,0.9876
PES,90.0,3.0,0.9876,0.9895,0.9873
PES,90.0,4.0,0.987,0.9894,0.9871
PES,90.0,5.0,0.9871,0.9886,0.9864
PES,90.0,6.0,0.9848,0.9901,0.9851
PES,90.0,7.0,0.9843,0.9889,0.9848
PES,90.0,8.0,0.986,0.9886,0.986
PES,90.0,9.0,0.9841,0.9874,0.9834
PES,90.0,10.0,0.9859,0.9879,0.9849
PES,90.0,11.0,0.9845,0.9888,0.9854
PES,90.0,12.0,0.9823,0.9868,0.9826
PES,90.0,13.0,0.9836,0.9867,0.984
PES,90.0,14.0,0.9821,0.9877,0.9839
PES,90.0,15.0,0.9838,0.9885,0.9817
PES,90.0,16.0,0.982,0.9875,0.984
PES,90.0,17.0,0.983,0.9855,0.9829
PES,90.0,18.0,0.981,0.9874,0.9832
PES,90.0,19.0,0.9808,0.9879,0.9828
PES,90.0,20.0,0.9815,0.9859,0.9818
PES,100.0,1.0,0.9891,0.992,0.9868
PES,100.0,2.0,0.9878,0.9915,0.988
PES,100.0,3.0,0.9875,0.9915,0.9861
PES,100.0,4.0,0.9864,0.9897,0.9861
PES,100.0,5.0,0.9851,0.9904,0.9868
PES,100.0,6.0,0.9864,0.9882,0.9852
PES,100.0,7.0,0.9845,0.9872,0.9859
PES,100.0,8.0,0.9836,0.9892,0.984
PES,100.0,9.0,0.9847,0.9874,0.9826
PES,100.0,10.0,0.9825,0.9885,0.9837
PES,100.0,11.0,0.984,0.988,0.9834
PES,100.0,12.0,0.9819,0.9865,0.9837
PES,100.0,13.0,0.9831,0.9871,0.9829
PES,100.0,14.0,0.9833,0.9864,0.9832
PES,100.0,15.0,0.9816,0.9856,0.9814
PES,100.0,16.0,0.9822,0.9874,0.9812
PES,100.0,17.0,0.9819,0.9871,0.9833
PES,100.0,18.0,0.9811,0.9851,0.9808
PES,100.0,19.0,0.9806,0.9847,0.9816
PES,100.0,20.0,0.9828,0.9862,0.982
PES,110.0,1.0,0.9881,0.9902,0.9881
PES,110.0,2.0,0.9863,0.9896,0.9855
PES,110.0,3.0,0.9872,0.9894,0.9869
PES,110.0,4.0,0.9841,0.9894,0.9841
PES,110.0,5.0,0.9851,0.9881,0.9864
PES,110.0,6.0,0.9853,0.9887,0.9854
PES,110.0,7.0,0.9842,0.988,0.984
PES,110.0,8.0,0.9853,0.9873,0.9842
PES,110.0,9.0,0.9842,0.9889,0.9826
PES,110.0,10.0,0.9836,0.9863,0.9822
PES,110.0,11.0,0.9814,0.987,0.9831
PES,110.0,12.0,0.9818,0.9876,0.9832
PES,110.0,13.0,0.9829,0.988,0.9832
PES,110.0,14.0,0.9826,0.9879,0.9819
PES,110.0,15.0,0.9823,0.9876,0.9829
PES,110.0,16.0,0.9807,0.9857,0.9824
PES,110.0,17.0,0.9809,0.985,0.9821
PES,110.0,18.0,0.9827,0.986,0.9813
PES,110.0,19.0,0.9798,0.9857,0.9807
PES,110.0,20.0,0.9798,0.9872,0.982
PES,120.0,1.0,0.9874,0.9911,0.9866
PES,120.0,2.0,0.9842,0.9899,0.9855
PES,120.0,3.0,0.9863,0.9879,0.9854
PES,120.0,4.0,0.9846,0.9873,0.9842
PES,120.0,5.0,0.9848,0.9893,0.9837
PES,120.0,6.0,0.9832,0.9892,0.9848
PES,120.0,7.0,0.9834,0.9871,0.983
PES,120.0,8.0,0.9829,0.9874,0.9847
PES,120.0,9.0,0.983,0.9869,0.982
PES,120.0,10.0,0.9834,0.9873,0.9834
PES,120.0,11.0,0.9825,0.9881,0.9822
PES,120.0,12.0,0.981,0.988,0.9825
PES,120.0,13.0,0.9809,0.9866,0.9821
PES,120.0,14.0,0.9832,0.9875,0.9816
PES,120.0,15.0,0.9825,0.9861,0.9822
PES,120.0,16.0,0.9807,0.987,0.9828
PES,120.0,17.0,0.9813,0.9855,0.9824
PES,120.0,18.0,0.9822,0.9869,0.9804
PES,120.0,19.0,0.9806,0.987,0.9809
PES,120.0,20.0,0.9801,0.985,0.981
PES,130.0,1.0,0.9853,0.9879,0.9854
PES,130.0,2.0,0.985,0.9887,0.9847
PES,130.0,3.0,0.9835,0.9889,0.9846
PES,130.0,4.0,0.9848,0.9866,0.9847
PES,130.0,5.0,0.9846,0.9874,0.9841
PES,130.0,6.0,0.9847,0.9875,0.9819
PES,130.0,7.0,0.9832,0.9883,0.9841
PES,130.0,8.0,0.9828,0.9869,0.9834
PES,130.0,9.0,0.9829,0.9858,0.9823
PES,130.0,10.0,0.9817,0.9872,0.9826
PES,130.0,11.0,0.983,0.9875,0.9816
PES,130.0,12.0,0.9824,0.9871,0.9828
PES,130.0,13.0,0.9802,0.9865,0.9828
PES,130.0,14.0,0.9821,0.9858,0.9801
PES,130.0,15.0,0.9823,0.9857,0.9818
PES,130.0,16.0,0.9797,0.9867,0.9804
PES,130.0,17.0,0.9798,0.9858,0.9811
PES,130.0,18.0,0.9798,0.9843,0.9819
PES,130.0,19.0,0.9799,0.9867,0.9796
PES,130.0,20.0,0.9798,0.9847,0.9791
PES,140.0,1.0,0.9858,0.989,0.9836
PES,140.0,2.0,0.9837,0.9884,0.9846
PES,140.0,3.0,0.983,0.9889,0.9829
PES,140.0,4.0,0.9834,0.9868,0.9836
PES,140.0,5.0,0.9846,0.9867,0.9845
PES,140.0,6.0,0.9821,0.9873,0.9833
PES,140.0,7.0,0.9811,0.9872,0.9825
PES,140.0,8.0,0.9816,0.9876,0.9826
PES,140.0,9.0,0.9824,0.9869,0.9825
PES,140.0,10.0,0.9823,0.9873,0.9822
PES,140.0,11.0,0.982,0.9856,0.9814
PES,140.0,12.0,0.9821,0.9848,0.9808
PES,140.0,13.0,0.9802,0.9848,0.9813
PES,140.0,14.0,0.9811,0.987,0.982
PES,140.0,15.0,0.9819,0.9856,0.9818
PES,140.0,16.0,0.9803,0.9844,0.9822
PES,140.0,17.0,0.982,0.9866,0.9813
PES,140.0,18.0,0.9819,0.9863,0.9801
PES,140.0,19.0,0.979,0.9854,0.9803
PES,140.0,20.0,0.9808,0.9855,0.9813
PES,150.0,1.0,0.9828,0.9872,0.9825
PES,150.0,2.0,0.9838,0.9889,0.9827
PES,150.0,3.0,0.9842,0.9886,0.9826
PES,150.0,4.0,0.9818,0.9885,0.9823
PES,150.0,5.0,0.9814,0.9881,0.9815
PES,150.0,6.0,0.9828,0.9875,0.9837
PES,150.0,7.0,0.9828,0.9855,0.9818
PES,150.0,8.0,0.9818,0.9861,0.9832
PES,150.0,9.0,0.9812,0.9861,0.983
PES,150.0,10.0,0.9802,0.9866,0.9816
PES,150.0,11.0,0.9808,0.9856,0.9803
PES,150.0,12.0,0.9821,0.9857,0.9816
PES,150.0,13.0,0.9812,0.9843,0.9818
PES,150.0,14.0,0.9797,0.9858,0.9795
PES,150.0,15.0,0.9798,0.9846,0.9818
PES,150.0,16.0,0.9795,0.9866,0.979
PES,150.0,17.0,0.9794,0.9842,0.9797
PES,150.0,18.0,0.9808,0.9838,0.9789
PES,150.0,19.0,0.9794,0.9846,0.9793
PES,150.0,20.0,0.9809,0.9852,0.9809
PES,160.0,1.0,0.9842,0.9876,0.9822
PES,160.0,2.0,0.9844,0.9859,0.9839
PES,160.0,3.0,0.9828,0.9869,0.9841
PES,160.0,4.0,0.9824,0.9865,0.983
PES,160.0,5.0,0.9834,0.9854,0.9809
PES,160.0,6.0,0.9806,0.9858,0.9823
PES,160.0,7.0,0.9812,0.9878,0.9818
PES,160.0,8.0,0.9818,0.9849,0.9821
PES,160.0,9.0,0.9818,0.9868,0.982
PES,160.0,10.0,0.981,0.985,0.9806
PES,160.0,11.0,0.9807,0.9845,0.9808
PES,160.0,12.0,0.9804,0.9846,0.9821
PES,160.0,13.0,0.9817,0.9843,0.9795
PES,160.0,14.0,0.9815,0.9856,0.9808
PES,160.0,15.0,0.9799,0.9842,0.98
PES,160.0,16.0,0.9811,0.9864,0.981
PES,160.0,17.0,0.9805,0.9847,0.9805
PES,160.0,18.0,0.9806,0.9843,0.979
PES,160.0,19.0,0.9797,0.9858,0.9803
PES,160.0,20.0,0.981,0.9864,0.981
PES,170.0,1.0,0.9833,0.9858,0.9842
PES,170.0,2.0,0.9819,0.986,0.9832
PES,170.0,3.0,0.9818,0.9853,0.9834
PES,170.0,4.0,0.9818,0.9855,0.9824
PES,170.0,5.0,0.9825,0.9855,0.9816
PES,170.0,6.0,0.9812,0.9869,0.9824
PES,170.0,7.0,0.9801,0.9847,0.9804
PES,170.0,8.0,0.9817,0.9852,0.9817
PES,170.0,9.0,0.9809,0.9851,0.9818
PES,170.0,10.0,0.9807,0.985,0.9814
PES,170.0,11.0,0.9812,0.9842,0.9804
PES,170.0,12.0,0.9791,0.9849,0.9797
PES,170.0,13.0,0.9797,0.9848,0.979
PES,170.0,14.0,0.9794,0.9849,0.981
PES,170.0,15.0,0.9813,0.9861,0.979
PES,170.0,16.0,0.9788,0.9837,0.9814
PES,170.0,17.0,0.9803,0.9853,0.9807
PES,170.0,18.0,0.9789,0.9836,0.9795
PES,170.0,19.0,0.9804,0.986,0.9813
PES,170.0,20.0,0.981,0.9842,0.9803
PES,180.0,1.0,0.9822,0.9863,0.982
PES,180.0,2.0,0.9812,0.9867,0.981
PES,180.0,3.0,0.9832,0.986,0.9826
PES,180.0,4.0,0.9826,0.9855,0.9806
PES,180.0,5.0,0.9818,0.9869,0.982
PES,180.0,6.0,0.9821,0.9859,0.982
PES,180.0,7.0,0.981,0.9871,0.9813
PES,180.0,8.0,0.9813,0.9868,0.9813
PES,180.0,9.0,0.9795,0.9854,0.9802
PES,180.0,10.0,0.9793,0.9855,0.9801
PES,180.0,11.0,0.9792,0.9864,0.9793
PES,180.0,12.0,0.9815,0.9856,0.9804
PES,180.0,13.0,0.9805,0.9861,0.9815
PES,180.0,14.0,0.9811,0.9856,0.9797
PES,180.0,15.0,0.9791,0.9838,0.9789
PES,180.0,16.0,0.9796,0.9857,0.98
PES,180.0,17.0,0.9792,0.9848,0.9798
PES,180.0,18.0,0.979,0.9846,0.9793
PES,180.0,19.0,0.9795,0.9853,0.9809
PES,180.0,20.0,0.9787,0.9838,0.9805
PES,190.0,1.0,0.9828,0.987,0.9833
PES,190.0,2.0,0.9813,0.9866,0.9808
PES,190.0,3.0,0.983,0.9868,0.9813
PES,190.0,4.0,0.9827,0.9855,0.981
PES,190.0,5.0,0.9821,0.9864,0.9822
PES,190.0,6.0,0.9816,0.9858,0.9815
PES,190.0,7.0,0.9804,0.9852,0.9799
PES,190.0,8.0,0.9821,0.9855,0.9799
PES,190.0,9.0,0.9793,0.9865,0.9794
PES,190.0,10.0,0.9815,0.9865,0.9791
PES,190.0,11.0,0.9811,0.9841,0.98
PES,190.0,12.0,0.9812,0.986,0.9812
PES,190.0,13.0,0.98,0.9848,0.9807
PES,190.0,14.0,0.9799,0.9844,0.9808
PES,190.0,15.0,0.9801,0.9844,0.9809
PES,190.0,16.0,0.981,0.9846,0.9813
PES,190.0,17.0,0.9799,0.9843,0.9796
PES,190.0,18.0,0.9814,0.986,0.9809
PES,190.0,19.0,0.9793,0.9854,0.9811
PES,190.0,20.0,0.9788,0.986,0.9811
PES,200.0,1.0,0.9825,0.9856,0.983
PES,200.0,2.0,0.9813,0.9875,0.9807
PES,200.0,3.0,0.9809,0.9846,0.98
PES,200.0,4.0,0.9803,0.9873,0.9807
PES,200.0,5.0,0.9822,0.9867,0.9814
PES,200.0,6.0,0.9797,0.985,0.9818
PES,200.0,7.0,0.9796,0.9861,0.9805
PES,200.0,8.0,0.9792,0.9847,0.9815
PES,200.0,9.0,0.9811,0.9854,0.9792
PES,200.0,10.0,0.9797,0.9839,0.98
PES,200.0,11.0,0.9801,0.984,0.9814
PES,200.0,12.0,0.9786,0.9851,0.9793
PES,200.0,13.0,0.9798,0.9853,0.9792
PES,200.0,14.0,0.9805,0.9838,0.9814
PES,200.0,15.0,0.9801,0.985,0.9815
PES,200.0,16.0,0.9797,0.9849,0.9804
PES,200.0,17.0,0.9793,0.9835,0.9809
PES,200.0,18.0,0.9807,0.9854,0.9808
PES,200.0,19.0,0.9795,0.9836,0.9801
PES,200.0,20.0,0.979,0.9858,0.9799
Wool,30.0,1.0,1.0009,0.9987,1.0008
Wool,30.0,2.0,0.9939,0.9955,0.9939
Wool,30.0,3.0,0.9922,0.9932,0.99
Wool,30.0,4.0,0.9861,0.9907,0.9876
Wool,30.0,5.0,0.9821,0.988,0.9832
Wool,30.0,6.0,0.9801,0.984,0.9787
Wool,30.0,7.0,0.9761,0.982,0.9739
Wool,30.0,8.0,0.9719,0.9783,0.9705
Wool,30.0,9.0,0.969,0.9763,0.9692
Wool,30.0,10.0,0.9676,0.9781,0.9673
Wool,30.0,11.0,0.9616,0.9726,0.9624
Wool,30.0,12.0,0.9616,0.9691,0.9605
Wool,30.0,13.0,0.9586,0.9679,0.9574
Wool,30.0,14.0,0.9559,0.9679,0.955
Wool,30.0,15.0,0.9532,0.9645,0.9536
Wool,30.0,16.0,0.9518,0.9633,0.9507
Wool,30.0,17.0,0.9484,0.9616,0.9506
Wool,30.0,18.0,0.9472,0.9593,0.9483
Wool,30.0,19.0,0.9453,0.9579,0.946
Wool,30.0,20.0,0.9434,0.9566,0.9439
Wool,40.0,1.0,0.991,0.9941,0.9908
Wool,40.0,2.0,0.9849,0.9886,0.985
Wool,40.0,3.0,0.9846,0.9904,0.9852
Wool,40.0,4.0,0.9775,0.985,0.9787
Wool,40.0,5.0,0.9754,0.9795,0.9759
Wool,40.0,6.0,0.9716,0.9778,0.9721
Wool,40.0,7.0,0.9668,0.9772,0.9676
Wool,40.0,8.0,0.9636,0.9725,0.9638
Wool,40.0,9.0,0.9615,0.9728,0.9631
Wool,40.0,10.0,0.9597,0.9696,0.9581
Wool,40.0,11.0,0.9567,0.9666,0.9581
Wool,40.0,12.0,0.955,0.9661,0.9554
Wool,40.0,13.0,0.9507,0.9627,0.9525
Wool,40.0,14.0,0.9508,0.9623,0.9504
Wool,40.0,15.0,0.9474,0.9624,0.948
Wool,40.0,16.0,0.9456,0.9584,0.9449
Wool,40.0,17.0,0.9436,0.9586,0.9439
Wool,40.0,18.0,0.9439,0.9585,0.9417
Wool,40.0,19.0,0.9407,0.9558,0.9405
Wool,40.0,20.0,0.9392,0.9545,0.9401
Wool,50.0,1.0,0.9809,0.9859,0.9821
Wool,50.0,2.0,0.9779,0.9835,0.9779
Wool,50.0,3.0,0.9783,0.9861,0.9774
Wool,50.0,4.0,0.9707,0.9791,0.9711
Wool,50.0,5.0,0.9684,0.9753,0.9685
Wool,50.0,6.0,0.9639,0.9729,0.9645
Wool,50.0,7.0,0.9601,0.971,0.9622
Wool,50.0,8.0,0.9592,0.9678,0.9601
Wool,50.0,9.0,0.9556,0.9684,0.9568
Wool,50.0,10.0,0.9537,0.9639,0.9526
Wool,50.0,11.0,0.9513,0.9639,0.9515
Wool,50.0,12.0,0.9483,0.9634,0.95
Wool,50.0,13.0,0.9483,0.9606,0.9479
Wool,50.0,14.0,0.945,0.9596,0.9469
Wool,50.0,15.0,0.9443,0.9583,0.9422
Wool,50.0,16.0,0.9429,0.9573,0.9422
Wool,50.0,17.0,0.9395,0.9557,0.9408
Wool,50.0,18.0,0.9396,0.9529,0.9404
Wool,50.0,19.0,0.9371,0.9522,0.9382
Wool,50.0,20.0,0.9376,0.9534,0.9371
Wool,60.0,1.0,0.9735,0.9803,0.9749
Wool,60.0,2.0,0.9698,0.9793,0.9703
Wool,60.0,3.0,0.968,0.9759,0.9679
Wool,60.0,4.0,0.9634,0.9733,0.9633
Wool,60.0,5.0,0.9605,0.97,0.9618
Wool,60.0,6.0,0.9597,0.9697,0.9577
Wool,60.0,7.0,0.9554,0.9682,0.9567
Wool,60.0,8.0,0.9527,0.9643,0.9539
Wool,60.0,9.0,0.9502,0.9632,0.9501
Wool,60.0,10.0,0.9494,0.9605,0.9492
Wool,60.0,11.0,0.9473,0.9602,0.9472
Wool,60.0,12.0,0.9456,0.9575,0.9457
Wool,60.0,13.0,0.9307,0.9472,0.9307
Wool,60.0,14.0,0.9419,0.9573,0.9402
Wool,60.0,15.0,0.9406,0.9562,0.9411
Wool,60.0,16.0,0.9375,0.9551,0.9399
Wool,60.0,17.0,0.9384,0.9542,0.9383
Wool,60.0,18.0,0.936,0.9507,0.9372
Wool,60.0,19.0,0.9347,0.9509,0.9359
Wool,60.0,20.0,0.9325,0.9489,0.9324
Wool,70.0,1.0,0.9668,0.9765,0.9686
Wool,70.0,2.0,0.9634,0.9744,0.9656
Wool,70.0,3.0,0.9601,0.9715,0.9604
Wool,70.0,4.0,0.9577,0.9681,0.9576
Wool,70.0,5.0,0.9551,0.9675,0.9543
Wool,70.0,6.0,0.9519,0.9638,0.9526
Wool,70.0,7.0,0.952,0.9637,0.9503
Wool,70.0,8.0,0.948,0.9618,0.9478
Wool,70.0,9.0,0.9473,0.9602,0.9463
Wool,70.0,10.0,0.9447,0.9589,0.9438
Wool,70.0,11.0,0.9439,0.9558,0.9426
Wool,70.0,12.0,0.9413,0.9545,0.9412
Wool,70.0,13.0,0.9385,0.9541,0.9396
Wool,70.0,14.0,0.9383,0.9523,0.9381
Wool,70.0,15.0,0.9367,0.9524,0.9353
Wool,70.0,16.0,0.936,0.9512,0.9363
Wool,70.0,17.0,0.9328,0.9501,0.9328
Wool,70.0,18.0,0.9317,0.9511,0.9316
Wool,70.0,19.0,0.9327,0.9504,0.9324
Wool,70.0,20.0,0.9306,0.9493,0.9322
Wool,80.0,1.0,0.9623,0.9715,0.9623
Wool,80.0,2.0,0.9589,0.9692,0.9595
Wool,80.0,3.0,0.9554,0.9675,0.9562
Wool,80.0,4.0,0.9526,0.9646,0.9527
Wool,80.0,5.0,0.9498,0.9641,0.9507
Wool,80.0,6.0,0.9472,0.9606,0.9475
Wool,80.0,7.0,0.9471,0.9585,0.9472
Wool,80.0,8.0,0.9437,0.9595,0.9432
Wool,80.0,9.0,0.9436,0.9577,0.9421
Wool,80.0,10.0,0.9404,0.9551,0.9399
Wool,80.0,11.0,0.9387,0.9532,0.9407
Wool,80.0,12.0,0.9382,0.9531,0.9378
Wool,80.0,13.0,0.9369,0.9532,0.9359
Wool,80.0,14.0,0.9347,0.9521,0.935
Wool,80.0,15.0,0.9345,0.9513,0.9351
Wool,80.0,16.0,0.9329,0.9484,0.9319
Wool,80.0,17.0,0.9329,0.9498,0.9304
Wool,80.0,18.0,0.9299,0.9485,0.9309
Wool,80.0,19.0,0.9305,0.9479,0.9299
Wool,80.0,20.0,0.9283,0.948,0.9274
Wool,90.0,1.0,0.9555,0.969,0.9566
Wool,90.0,2.0,0.953,0.9667,0.954
Wool,90.0,3.0,0.9514,0.9631,0.9506
Wool,90.0,4.0,0.9478,0.9632,0.9489
Wool,90.0,5.0,0.9464,0.9598,0.9469
Wool,90.0,6.0,0.944,0.9598,0.9449
Wool,90.0,7.0,0.9423,0.9567,0.9438
Wool,90.0,8.0,0.9415,0.955,0.9419
Wool,90.0,9.0,0.9393,0.9535,0.9402
Wool,90.0,10.0,0.9377,0.9546,0.9379
Wool,90.0,11.0,0.9349,0.9533,0.9376
Wool,90.0,12.0,0.9347,0.9523,0.9342
Wool,90.0,13.0,0.9337,0.9499,0.9341
Wool,90.0,14.0,0.9325,0.9494,0.9311
Wool,90.0,15.0,0.9315,0.9479,0.9329
Wool,90.0,16.0,0.9082,0.937,0.9084
Wool,90.0,17.0,0.9304,0.9464,0.9292
Wool,90.0,18.0,0.9288,0.9479,0.9278
Wool,90.0,19.0,0.9282,0.9469,0.9286
Wool,90.0,20.0,0.9272,0.9439,0.9255
Wool,100.0,1.0,0.9518,0.9649,0.9522
Wool,100.0,2.0,0.9496,0.9608,0.9487
Wool,100.0,3.0,0.9471,0.9591,0.9459
Wool,100.0,4.0,0.9453,0.9574,0.9464
Wool,100.0,5.0,0.9433,0.9581,0.9437
Wool,100.0,6.0,0.9402,0.9551,0.9422
Wool,100.0,7.0,0.939,0.9554,0.9384
Wool,100.0,8.0,0.9379,0.9548,0.9365
Wool,100.0,9.0,0.9359,0.9531,0.9377
Wool,100.0,10.0,0.9336,0.9506,0.9365
Wool,100.0,11.0,0.935,0.9501,0.9342
Wool,100.0,12.0,0.9329,0.9503,0.9331
Wool,100.0,13.0,0.932,0.9489,0.9321
Wool,100.0,14.0,0.9289,0.9472,0.9299
Wool,100.0,15.0,0.9284,0.9469,0.9295
Wool,100.0,16.0,0.928,0.9451,0.9288
Wool,100.0,17.0,0.927,0.9454,0.9264
Wool,100.0,18.0,0.9283,0.9454,0.9259
Wool,100.0,19.0,0.9256,0.9446,0.9248
Wool,100.0,20.0,0.9254,0.9428,0.9247
Wool,110.0,1.0,0.9482,0.96,0.9468
Wool,110.0,2.0,0.9452,0.9596,0.9466
Wool,110.0,3.0,0.9445,0.9588,0.945
Wool,110.0,4.0,0.943,0.9553,0.9411
Wool,110.0,5.0,0.9392,0.9555,0.9398
Wool,110.0,6.0,0.9378,0.9546,0.9378
Wool,110.0,7.0,0.9369,0.9526,0.9372
Wool,110.0,8.0,0.935,0.952,0.935
Wool,110.0,9.0,0.9348,0.9513,0.9336
Wool,110.0,10.0,0.9318,0.9499,0.9332
Wool,110.0,11.0,0.9329,0.9485,0.9311
Wool,110.0,12.0,0.9309,0.9479,0.9312
Wool,110.0,13.0,0.9295,0.9474,0.9281
Wool,110.0,14.0,0.928,0.9468,0.9271
Wool,110.0,15.0,0.9273,0.9465,0.929
